Shape,b_1(mm),d_1(mm),d_avg(mm),rho_avg(%),$b^* [mm]$,$b^*/d_{avg}$,f_c(MPa),f_y(MPa),V_u(kN),b_o (mm),$f_y * rho_{avg} [MPa]$,lamda,lamdas,beta,$ACI_a [psi]$,$ACI_b [psi]$,$ACI_c [psi]$,$ACI_{min} [psi]$,$ACI_{min} [MPa]$,ACI_$V_c [kN]$
C,250,250,200,0.012566371,196.3495408,0.981747704,87.02,596,1041,1099.557429,7.489557116,1,1,1,449.3765772,674.0648658,1042.065472,449.3765772,3.09834365,681.3608404
S,350,350,260,0.011000691,350,1.346153846,28.888,524,1046,2440,5.764362084,0.85,1,1,220.0789756,330.1184635,344.5498717,220.0789756,1.517391718,962.6325785
C,901,901,173,0.011108394,707.6437452,4.090426273,22.895,576,1079,3102.322745,6.398434944,0.75,1,1,172.8751141,259.3126712,182.8407917,172.8751141,1.191932422,639.7118346
S,200,200,160,0.009424778,200,1.25,28.2,480,1099,1440,4.52389344,0.85,1,1,217.4424699,326.1637048,350.3239792,217.4424699,1.499213643,345.4185624
S,150,150,200,0.017453293,150,0.75,87.9795,550,1100,1400,9.59931115,1,1,1,451.8472436,677.7708654,871.4196841,451.8472436,3.115378301,872.3052651
C,897,897,172,0.011170107,704.5021526,4.095942747,22.895,576,1107,3088.185578,6.433981632,0.75,1,1,172.8751141,259.3126712,182.7223135,172.8751141,1.191932422,633.1157863
C,899,899,174,0.011047359,706.0729489,4.057890511,22.895,576,1111,3097.610356,6.363278784,0.75,1,1,172.8751141,259.3126712,183.5455416,172.8751141,1.191932422,642.4322598
S,300,300,271,0.010366627,300,1.10701107,12.3,270,1165,2284,2.79898929,0.75,1,1,126.7111147,190.0666721,213.7001813,126.7111147,0.873642726,540.7529873
S,150,150,200,0.017453293,150,0.75,70.0245,550,1200,1400,9.59931115,1,1,1,403.1121617,604.6682425,777.4305975,403.1121617,2.779361608,778.2206621
S,150,150,200,0.026179939,150,0.75,80.09925,550,1250,1400,14.39896645,1,1,1,431.1368232,646.7052348,831.4781591,431.1368232,2.972584923,832.3231495
